Month_year,Dividend,Bond-Income
12/31/1999,0.003062552,0.016201322
3/31/2000,0.00295142,0.016303634
6/30/2000,0.00282991,0.015615564
9/30/2000,0.002814866,0.014954941
12/31/2000,0.002794028,0.014643754
3/31/2001,0.002808603,0.013703279
6/30/2001,0.003173509,0.01451625
9/30/2001,0.003409865,0.013958776
12/31/2001,0.003691052,0.013560294
3/31/2002,0.003335596,0.013423226
6/30/2002,0.003734024,0.014793895
9/30/2002,0.004073618,0.013773446
12/31/2002,0.004962974,0.012496612
3/31/2003,0.004576489,0.011938271
6/30/2003,0.004555843,0.011541186
9/30/2003,0.004367819,0.012620966
12/31/2003,0.004965394,0.012660088
3/31/2004,0.00404705,0.01234881
6/30/2004,0.00419317,0.012665551
9/30/2004,0.004424731,0.012816802
12/31/2004,0.004707175,0.012201338
3/31/2005,0.004472271,0.011652461
6/30/2005,0.004580645,0.011563038
9/30/2005,0.00447167,0.010972773
12/31/2005,0.005012643,0.01169933
3/31/2006,0.004665225,0.011453806
6/30/2006,0.004647119,0.013119349
9/30/2006,0.004817984,0.012703412
12/31/2006,0.005045066,0.011747837
3/31/2007,0.004560063,0.012075289
6/30/2007,0.004563707,0.012414416
9/30/2007,0.004716761,0.012429247
12/31/2007,0.005018241,0.011981327
3/31/2008,0.005104664,0.011122087
6/30/2008,0.005104147,0.011319689
9/30/2008,0.005421086,0.011403753
12/31/2008,0.007402842,0.010644708
3/31/2009,0.007040265,0.008936398
6/30/2009,0.006428348,0.010001167
9/30/2009,0.005647776,0.01060696
12/31/2009,0.005368623,0.010192721
3/31/2010,0.005021843,0.010909722
6/30/2010,0.004695528,0.010826794
9/30/2010,0.005291544,0.009009226
12/31/2010,0.005156243,0.009039214
3/31/2011,0.004809986,0.010356313
6/30/2011,0.00489548,0.010309883
9/30/2011,0.005079195,0.009183179
12/31/2011,0.006123866,0.006811501
3/31/2012,0.005476726,0.006431321
6/30/2012,0.005426222,0.006552008
9/30/2012,0.005662449,0.005540669
12/31/2012,0.006342904,0.005959087
3/31/2013,0.005407227,0.0066531
6/30/2013,0.005388292,0.00723967
9/30/2013,0.005378183,0.008730473
12/31/2013,0.005567883,0.00873788
3/31/2014,0.00511691,0.008647123
6/30/2014,0.00524293,0.008111215
9/30/2014,0.005137456,0.007599338
12/31/2014,0.005261775,0.00702476
3/31/2015,0.005191738,0.00561448
6/30/2015,0.00510133,0.006196912
9/30/2015,0.005167009,0.006783861
12/31/2015,0.005607939,0.00645453
3/31/2016,0.005745468,0.005924344
6/30/2016,0.005503429,0.00549191
9/30/2016,0.005311016,0.004496719
12/31/2016,0.005622433,0.00560005
3/31/2017,0.0051529,0.006834888
6/30/2017,0.005110794,0.006638607
9/30/2017,0.005061597,0.006297444
12/31/2017,0.005029075,0.006408531
3/31/2018,0.004645414,0.006947112
6/30/2018,0.004909076,0.007290829
9/30/2018,0.004921291,0.007271523
12/31/2018,0.005066766,0.008535249
3/31/2019,0.005346229,0.007016127
6/30/2019,0.004959492,0.006452747
9/30/2019,0.005033754,0.0055083
12/31/2019,0.005078703,0.005019862
3/31/2020,0.004641183,0.00475752
6/30/2020,0.005205517,0.002796002
9/30/2020,0.004335745,0.002773051
12/31/2020,0.004322425,0.003167931
3/31/2021,0.003886071,0.004162712
6/30/2021,0.003577678,0.005347699
9/30/2021,0.003484991,0.004509658
12/31/2021,0.003529084,0.004744678
3/31/2022,0.003617553,0.00534286
6/30/2022,0.003916737,0.007726667
9/30/2022,0.004049371,0.008586348
12/31/2022,0.004595032,0.010484101
3/31/2023,0.004461996,0.010074683
