iter	Passed	Remaining
718	4249	1660
719	4255	1654
720	4259	1648
721	4266	1642
722	4272	1636
723	4278	1631
724	4284	1625
725	4290	1619
726	4297	1613
727	4301	1607
728	4307	1601
729	4314	1595
730	4320	1589
731	4326	1583
732	4331	1577
733	4335	1571
734	4341	1565
735	4347	1559
736	4353	1553
737	4359	1547
738	4364	1541
739	4370	1535
740	4376	1529
741	4382	1523
742	4386	1517
743	4392	1511
744	4397	1505
745	4403	1499
746	4409	1493
747	4416	1487
748	4422	1482
749	4428	1476
750	4435	1470
751	4441	1464
752	4448	1459
753	4455	1453
754	4461	1447
755	4467	1442
756	4474	1436
757	4480	1430
758	4487	1424
759	4494	1419
760	4500	1413
761	4506	1407
762	4512	1401
763	4517	1395
764	4524	1389
765	4529	1383
766	4535	1377
767	4541	1372
768	4547	1366
769	4553	1360
770	4560	1354
771	4567	1348
772	4574	1343
773	4580	1337
774	4587	1331
775	4593	1325
776	4599	1320
777	4606	1314
778	4613	1308
779	4620	1303
780	4627	1297
781	4634	1291
782	4641	1286
783	4647	1280
784	4654	1274
785	4660	1268
786	4667	1263
787	4674	1257
788	4680	1251
789	4687	1246
790	4694	1240
791	4701	1234
792	4707	1228
793	4714	1223
794	4721	1217
795	4728	1211
796	4735	1206
797	4742	1200
798	4748	1194
799	4755	1188
800	4761	1183
801	4768	1177
802	4775	1171
803	4781	1165
804	4788	1159
805	4794	1154
806	4801	1148
807	4808	1142
808	4814	1136
809	4821	1131
810	4828	1125
811	4834	1119
812	4841	1113
813	4847	1107
814	4854	1101
815	4860	1096
816	4867	1090
817	4873	1084
818	4880	1078
819	4886	1072
820	4893	1066
821	4900	1061
822	4906	1055
823	4913	1049
824	4918	1043
825	4922	1036
826	4929	1031
827	4936	1025
828	4943	1019
829	4949	1013
830	4956	1008
831	4962	1002
832	4969	996
833	4976	990
834	4983	984
835	4989	978
836	4996	973
837	5001	966
838	5008	961
839	5014	955
840	5021	949
841	5027	943
842	5034	937
843	5041	931
844	5047	925
845	5054	920
846	5060	914
847	5067	908
848	5074	902
849	5081	896
850	5087	890
851	5093	884
852	5100	878
853	5106	873
854	5113	867
855	5119	861
856	5126	855
857	5132	849
858	5139	843
859	5145	837
860	5152	831
861	5158	825
862	5165	819
863	5169	813
